municipality,year,all_female_records,lesao_corporal,violencia_domestica_lesao,estupro,estupro_vulneravel,violencia_sexual,homicidio_mulher,feminicidio,tentativa_feminicidio,selected_vaw_records
NOVA IPIXUNA,2024,57,20,10,2,11,13,1,0,0,23
NOVA TIMBOTEUA,2024,46,20,10,0,2,2,0,0,0,12
NOVO PROGRESSO,2024,249,110,77,3,29,32,0,0,0,109
NOVO REPARTIMENTO,2024,195,67,51,3,32,35,3,1,0,87
OBIDOS,2024,226,65,36,7,10,17,1,0,0,53
OEIRAS DO PARA,2024,379,110,65,6,27,33,2,1,0,99
ORIXIMINA,2024,439,108,54,5,31,36,1,0,0,90
OUREM,2024,81,32,18,1,6,7,1,0,0,25
OURILANDIA DO NORTE,2024,134,42,26,3,25,28,2,1,0,55
PACAJA,2024,126,48,36,5,18,23,1,0,0,59
PALESTINA DO PARA,2024,28,15,10,0,2,2,0,0,0,12
PARAGOMINAS,2024,831,198,141,12,65,77,5,2,0,220
PARAUAPEBAS,2024,1937,506,352,21,78,99,3,3,0,454
PAU D ARCO,2024,25,10,4,0,2,2,0,0,0,6
PEIXE-BOI,2024,37,12,8,1,5,6,0,0,0,14
PICARRA,2024,23,17,12,0,2,2,0,0,0,14
PLACAS,2024,76,39,25,0,11,11,1,1,0,37
PONTA DE PEDRAS,2024,193,84,50,5,11,16,0,0,0,66
PORTEL,2024,378,95,48,3,54,57,1,2,0,107
PORTO DE MOZ,2024,184,67,38,3,11,14,1,0,0,52
PRAINHA,2024,189,83,46,3,15,18,0,0,0,64
PRIMAVERA,2024,46,18,10,0,4,4,0,0,0,14
QUATIPURU,2024,75,24,16,3,4,7,1,0,0,23
REDENCAO,2024,671,217,140,11,50,61,7,2,0,203
RIO MARIA,2024,104,36,26,1,2,3,3,1,0,30
RONDON DO PARA,2024,210,80,59,5,13,18,0,0,0,77
RUROPOLIS,2024,105,48,37,3,10,13,0,0,0,50
SALINOPOLIS,2024,510,130,80,7,43,50,1,0,0,130
SALVATERRA,2024,216,76,38,8,24,32,0,0,0,70
SANTA BARBARA DO PARA,2024,133,30,16,1,10,11,1,0,0,27
SANTA CRUZ DO ARARI,2024,57,39,11,1,3,4,0,0,0,15
SANTA IZABEL DO PARA,2024,556,127,74,7,25,32,2,0,0,106
SANTA LUZIA DO PARA,2024,79,23,15,0,12,12,1,0,0,27
SANTA MARIA DAS BARREIRAS,2024,52,19,9,2,8,10,0,0,0,19
SANTA MARIA DO PARA,2024,108,31,18,2,4,6,0,0,0,24
SANTANA DO ARAGUAIA,2024,204,97,76,5,28,33,0,0,0,109
SANTAREM,2024,2128,522,312,24,133,157,3,2,0,471
SANTAREM NOVO,2024,29,4,2,2,7,9,0,0,0,11
SANTO ANTONIO DO TAUA,2024,216,69,36,5,19,24,0,0,0,60
